snapshot_date,snapshot_ts,match_date,league,match,market,odds
2026-08-10,2026-08-10T20:07:16,2026-08-17,La Liga 2,Almería vs CD Eldense,over25,1.62
2026-08-10,2026-08-10T20:07:16,2026-08-17,La Liga 2,Almería vs CD Eldense,under25,2.35
2026-08-11,2026-08-11T09:11:10,2026-08-15,Bundesliga 2,1. FC Kaiserslautern vs Karlsruher SC,over25,1.52
2026-08-11,2026-08-11T09:11:10,2026-08-15,Bundesliga 2,1. FC Kaiserslautern vs Karlsruher SC,under25,2.35
2026-08-11,2026-08-11T09:11:10,2026-08-15,League Two,Cheltenham Town vs Rotherham United,over25,1.88
2026-08-11,2026-08-11T09:11:10,2026-08-15,League Two,Cheltenham Town vs Rotherham United,under25,1.87
2026-08-11,2026-08-11T09:11:10,2026-08-15,Bundesliga 2,Greuther Fürth vs 1. FC Nürnberg,under25,2.14
2026-08-11,2026-08-11T10:13:58,2026-08-15,Championship,Charlton Athletic vs Derby County,over25,2.11
2026-08-11,2026-08-11T10:13:58,2026-08-15,Championship,Charlton Athletic vs Derby County,under25,1.7
2026-08-11,2026-08-11T10:13:58,2026-08-15,Bundesliga 2,Greuther Fürth vs 1. FC Nürnberg,over25,1.67
2026-08-11,2026-08-11T10:13:58,2026-08-15,Bundesliga 2,Greuther Fürth vs 1. FC Nürnberg,under25,2.16
2026-08-11,2026-08-11T10:13:58,2026-08-15,Championship,Portsmouth vs Queens Park Rangers,over25,1.9
2026-08-11,2026-08-11T10:13:58,2026-08-15,Championship,Portsmouth vs Queens Park Rangers,under25,1.87
2026-08-11,2026-08-11T10:13:58,2026-08-15,Bundesliga 2,VfL Osnabrück vs 1. FC Magdeburg,over25,1.57
2026-08-11,2026-08-11T10:13:58,2026-08-15,Bundesliga 2,VfL Osnabrück vs 1. FC Magdeburg,under25,2.35
2026-08-11,2026-08-11T11:58:48,2026-08-15,Championship,Portsmouth vs Queens Park Rangers,over25,1.91
2026-08-11,2026-08-11T11:58:48,2026-08-15,Championship,Portsmouth vs Queens Park Rangers,under25,1.86
2026-08-11,2026-08-11T11:58:48,2026-08-16,Bundesliga 2,Hannover 96 vs VfL Wolfsburg,over25,1.65
2026-08-11,2026-08-11T11:58:48,2026-08-16,Bundesliga 2,Hannover 96 vs VfL Wolfsburg,over35,2.2
2026-08-11,2026-08-11T11:58:48,2026-08-16,Bundesliga 2,Hannover 96 vs VfL Wolfsburg,under25,2.15
2026-08-11,2026-08-11T11:58:48,2026-08-16,La Liga 2,Las Palmas vs Albacete,over25,1.9
2026-08-11,2026-08-11T11:58:48,2026-08-16,La Liga 2,Las Palmas vs Albacete,under25,1.95
2026-08-11,2026-08-11T13:25:55,2026-08-15,League One,Barnsley vs Bromley FC,under25,1.88
2026-08-11,2026-08-11T13:25:55,2026-08-16,Bundesliga 2,Hannover 96 vs VfL Wolfsburg,over25,1.66
2026-08-11,2026-08-11T13:25:55,2026-08-16,Bundesliga 2,Hannover 96 vs VfL Wolfsburg,under25,2.18
2026-08-11,2026-08-11T14:39:20,2026-08-15,Championship,Charlton Athletic vs Derby County,over25,2.13
2026-08-11,2026-08-11T14:39:20,2026-08-15,Championship,Charlton Athletic vs Derby County,under25,1.69
2026-08-11,2026-08-11T15:40:56,2026-08-15,Championship,Bristol City vs Millwall,over25,1.91
2026-08-11,2026-08-11T15:40:56,2026-08-15,Championship,Bristol City vs Millwall,under25,1.86
2026-08-11,2026-08-11T15:40:56,2026-08-15,Championship,Middlesbrough vs Lincoln City,over25,1.66
2026-08-11,2026-08-11T15:40:56,2026-08-15,Championship,Middlesbrough vs Lincoln City,under25,2.18
2026-08-11,2026-08-11T15:40:56,2026-08-15,Championship,Norwich City vs West Bromwich Albion,over25,1.89
2026-08-11,2026-08-11T15:40:56,2026-08-15,Championship,Norwich City vs West Bromwich Albion,under25,1.88
2026-08-11,2026-08-11T15:40:56,2026-08-15,Bundesliga 2,VfL Osnabrück vs 1. FC Magdeburg,over25,1.55
2026-08-11,2026-08-11T15:40:56,2026-08-15,Bundesliga 2,VfL Osnabrück vs 1. FC Magdeburg,under25,2.28
