player_id,player_name,team,position,goals_pg,assists_pg,sot_pg,shots_pg,cards_pg,minutes_pg,rating_pg,saves_pg,games_used,player_career_avg_quality
292,J. Henderson,Brentford,M,0.0,0.0,0.0,0.0,0.4,55.6,6.7,0.0,5.0,1.0
25073,V. Janelt,Brentford,M,0.0,0.0,0.0,0.0,0.2,55.0,6.6,0.0,5.0,1.0
106725,K. Lewis-Potter,Brentford,M,0.0,0.2,0.4,0.6,0.0,89.6,6.44,0.0,5.0,1.0
263538,Y. Yarmolyuk,Brentford,M,0.0,0.0,0.0,0.2,0.0,87.6,7.08,0.0,5.0,1.0
513316,Luka Bentt,Brentford,M,,,,,,,,,,
327726,R. Owen,Brentford,M,,,,,,,,,,
441271,Jannik Schuster,Brentford,M,,,,,,,,,,
1361,F. Kadıoğlu,Brighton,D,0.2,0.0,0.8,1.0,0.0,90.0,6.88,0.0,5.0,1.0
22160,O. Boscagli,Brighton,D,0.0,0.0,0.0,0.0,0.0,90.0,7.08,0.0,4.0,1.0
162007,M. De Cuyper,Brighton,D,0.0,0.6,0.0,0.2,0.0,50.2,7.34,0.0,5.0,1.0
7600,Igor,Brighton,D,0.0,0.0,0.0,0.0,0.2,79.0,6.82,0.0,5.0,1.0
64003,P. Struijk,Brighton,D,0.0,0.0,0.0,0.8,0.2,83.2,6.74,0.0,5.0,0.88
204037,Costinha,Brighton,D,,,,,,,,,,
7090,M. Svoboda,Brighton,D,,,,,,,,,,
387521,L. Vušković,Brighton,D,,,,,,,,,,
383685,Y. Minteh,Brighton,F,0.2,0.0,0.2,0.6,0.2,78.2,6.8,0.0,5.0,1.0
106835,K. Mitoma,Brighton,F,0.2,0.0,0.4,1.0,0.4,59.0,6.92,0.0,5.0,1.0
1469,D. Welbeck,Brighton,F,0.2,0.2,0.8,1.2,0.0,58.4,6.74,0.0,5.0,1.0
392482,C. Kostoulas,Brighton,F,0.0,0.0,0.0,0.5,0.0,20.5,6.75,0.0,2.0,1.0
90590,G. Rutter,Brighton,F,0.0,0.2,0.2,0.6,0.0,29.6,6.64,0.0,5.0,1.0
441268,Rodrigo Miguel Ferreira Rêgo,Brighton,F,,,,,,,,,,
524411,Z. Yohanna,Brighton,F,,,,,,,,,,
18960,J. Steele,Brighton,G,0.0,0.0,0.0,0.0,0.0,90.0,6.6,1.8,5.0,1.0
129058,B. Verbruggen,Brighton,G,0.0,0.0,0.0,0.0,0.0,90.0,6.6,2.2,5.0,1.0
305730,J. Hinshelwood,Brighton,M,0.6,0.0,1.4,2.0,0.0,84.2,7.04,0.0,5.0,1.0
92993,M. Wieffer,Brighton,M,0.4,0.0,0.4,0.4,0.2,66.6,6.94,0.0,5.0,1.0
19030,M. O&apos;Riley,Brighton,M,0.2,0.2,0.2,0.4,0.0,38.8,6.84,0.0,5.0,1.0
265820,Y. Ayari,Brighton,M,0.0,0.2,0.0,0.0,0.0,42.4,6.68,0.0,5.0,1.0
356041,C. Baleba,Brighton,M,0.0,0.0,0.2,0.6,0.0,71.8,7.08,0.0,5.0,1.0
278370,D. Gómez,Brighton,M,0.0,0.2,0.2,1.6,0.2,56.2,6.66,0.0,5.0,1.0
18970,P. Groß,Brighton,M,0.0,0.0,1.0,1.0,0.0,90.0,6.88,0.0,5.0,1.0
392610,H. Howell,Brighton,M,0.0,0.0,0.0,0.0,0.0,13.0,6.3,0.0,1.0,1.0
152953,L. Colwill,Chelsea,D,0.2,0.0,0.2,0.2,0.0,81.0,7.08,0.0,5.0,1.0
366735,Joshua Kofi Acheampong,Chelsea,D,0.0,0.0,0.0,0.2,0.0,37.2,6.64,0.0,5.0,1.0
19145,T. Adarabioyo,Chelsea,D,0.0,0.0,0.0,0.2,0.2,49.6,6.86,0.0,5.0,1.0
95,B. Badiashile,Chelsea,D,0.0,0.0,0.0,0.0,0.0,66.6,6.9,0.0,5.0,1.0
19720,T. Chalobah,Chelsea,D,0.0,0.0,0.0,0.4,0.0,62.2,6.66,0.0,5.0,1.0
22094,W. Fofana,Chelsea,D,0.0,0.0,0.2,0.2,0.6,71.8,6.36,0.0,5.0,1.0
161907,M. Gusto,Chelsea,D,0.0,0.0,0.2,0.2,0.2,87.0,6.44,0.0,5.0,1.0
341642,J. Hato,Chelsea,D,0.0,0.0,0.0,0.0,0.6,82.4,6.66,0.0,5.0,1.0
19545,R. James,Chelsea,D,0.0,0.0,0.2,0.8,0.0,67.0,7.16,0.0,5.0,1.0
609590,Denner,Chelsea,D,,,,,,,,,,
383018,M. Palestra,Chelsea,D,,,,,,,,,,
276184,M. Sarr,Chelsea,D,,,,,,,,,,
10329,João Pedro,Chelsea,F,0.2,0.0,0.4,1.6,0.2,85.8,6.92,0.0,5.0,1.0
161948,L. Delap,Chelsea,F,0.0,0.0,0.0,0.6,0.4,63.0,6.34,0.0,5.0,1.0
425733,Estêvão,Chelsea,F,0.0,0.0,0.5,1.0,0.5,41.5,6.3,0.0,2.0,1.0
284324,A. Garnacho,Chelsea,F,0.0,0.0,0.2,0.6,0.2,55.4,6.5,0.0,5.0,1.0
392270,Marc Guiu,Chelsea,F,0.0,0.0,0.0,0.0,0.0,26.67,6.47,0.0,3.0,1.0
1864,Pedro Neto,Chelsea,F,0.0,0.4,0.4,0.4,0.0,84.8,6.74,0.0,5.0,1.0
203762,E. Emegha,Chelsea,F,,,,,,,,,,
286894,J. Bynoe-Gittens,Chelsea,F,,,,,,,,,,
359117,Shumaira Mheuka,Chelsea,F,,,,,,,,,,
419582,Geovany Tcherno Quenda,Chelsea,F,,,,,,,,,,
286616,F. Jörgensen,Chelsea,G,0.0,0.0,0.0,0.0,0.0,76.8,6.56,2.2,5.0,1.0
18959,Robert Sánchez,Chelsea,G,0.0,0.0,0.0,0.0,0.0,85.2,6.5,2.6,5.0,1.0
