snapshot_date,snapshot_ts,match_date,league,match,market,odds
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,Championship,Sunderland vs Sheffield Weds,btts_no,2.23
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,Championship,Sunderland vs Sheffield Weds,btts_yes,1.74
2024-08-19,2024-08-19T00:00:00Z,2024-08-19,La Liga 2,Eldense vs Tenerife,btts_no,1.6
2024-08-19,2024-08-19T00:00:00Z,2024-08-19,La Liga 2,Eldense vs Tenerife,btts_yes,2.3
2024-08-19,2024-08-19T00:00:00Z,2024-08-19,Ligue 2,Martigues vs Lorient,btts_no,1.85
2024-08-19,2024-08-19T00:00:00Z,2024-08-19,Ligue 2,Martigues vs Lorient,btts_yes,2.05
2024-08-19,2024-08-19T00:00:00Z,2024-08-19,Ligue 2,Metz vs Bastia,btts_no,1.8
2024-08-19,2024-08-19T00:00:00Z,2024-08-19,Ligue 2,Metz vs Bastia,btts_yes,2.05
2024-08-22,2024-08-22T00:00:00Z,2024-08-22,League Two,Notts County vs Grimsby,btts_no,2.41
2024-08-22,2024-08-22T00:00:00Z,2024-08-22,League Two,Notts County vs Grimsby,btts_yes,1.59
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,Ligue 2,Annecy vs Martigues,btts_no,1.77
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,Ligue 2,Annecy vs Martigues,btts_yes,2.15
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,Ligue 2,Bastia vs Amiens,btts_no,1.68
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,Ligue 2,Bastia vs Amiens,btts_yes,2.14
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,Bundesliga 2,Hannover vs Hamburg,btts_no,2.51
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,Bundesliga 2,Hannover vs Hamburg,btts_yes,1.51
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,La Liga 2,Huesca vs La Coruna,btts_no,1.65
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,La Liga 2,Huesca vs La Coruna,btts_yes,2.3
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,Bundesliga 2,Karlsruhe vs Elversberg,btts_no,2.7
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,Bundesliga 2,Karlsruhe vs Elversberg,btts_yes,1.46
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,Ligue 2,Laval vs Guingamp,btts_no,1.7
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,Ligue 2,Laval vs Guingamp,btts_yes,2.1
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,Serie B,Modena vs Bari,btts_no,1.73
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,Serie B,Modena vs Bari,btts_yes,2.12
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,Ligue 2,Paris FC vs Dunkerque,btts_no,1.86
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,Ligue 2,Paris FC vs Dunkerque,btts_yes,1.87
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,Ligue 2,Pau FC vs Caen,btts_no,2.05
2024-08-23,2024-08-23T00:00:00Z,2024-08-23,Ligue 2,Pau FC vs Caen,btts_yes,1.71
