player_name,team,position,price,minutes_pg,p_goal,p_assist,p_sot2,attack_pts,dc_pts,cs_pts,bonus_pts,def_actions_pg,fantasy_pts,xpts_rot,p_start,is_pen_taker,value,availability,injured,doubtful,chance_of_playing,fpl_matched,next_fixtures,avg_fdr,fixtures_available,fixture_adj_pts,n_fixtures_next,total_xpts_next,total_xpts_rot,overall_rank,pos_rank,captain_pick
Chadi Riad,Crystal Palace,DEF,4.5,84.0,0.044,0.036,0.026,0.383,1.801,0.688,0.536,8.0,5.408,5.408,1.0,False,1.202,available,False,False,,True,EVE(A3) · MCI(H4) · FUL(A3) · IPS(H2) · LEE(A3),3.0,True,5.408,5,27.04,27.04,39,27,False
Harry Maguire,Man Utd,DEF,5.0,87.6,0.044,0.037,0.026,0.388,1.736,0.748,0.524,7.5,5.396,5.396,1.0,False,1.079,available,False,False,,True,HUL(A2) · IPS(H2) · EVE(A3) · MCI(H4) · FUL(A3),2.8,True,5.396,5,26.98,26.98,40,28,False
Jorrel Hato,Chelsea,DEF,4.5,90.0,0.041,0.037,0.025,0.368,1.801,0.688,0.533,8.0,5.39,5.39,1.0,False,1.198,available,False,False,,True,FUL(A3) · BHA(H2) · ARS(A5) · HUL(H2) · BRE(A3),3.0,True,5.39,5,26.95,26.95,41,29,False
James Tarkowski,Everton,DEF,6.0,90.0,0.05,0.046,0.028,0.454,1.721,0.688,0.522,7.3999999999999995,5.385,5.385,1.0,False,0.898,available,False,False,,True,CRY(H3) · BOU(A3) · MUN(H4) · TOT(A3) · IPS(H2),3.0,True,5.385,5,26.92,26.92,42,30,False
Calvin Bassey,Fulham,DEF,4.5,90.0,0.046,0.044,0.026,0.418,1.876,0.535,0.552,8.8,5.381,5.381,1.0,False,1.196,available,False,False,,True,CHE(H4) · SUN(A3) · CRY(H3) · LIV(A4) · MUN(H4),3.6,True,5.381,5,26.9,26.9,43,31,False
Matthijs de Ligt,Man Utd,DEF,5.0,91.8,0.047,0.037,0.027,0.402,1.705,0.748,0.518,7.3,5.373,0.0,0.0,False,1.075,injured,True,False,0.0,True,HUL(A2) · IPS(H2) · EVE(A3) · MCI(H4) · FUL(A3),2.8,True,5.373,5,26.86,0.0,44,32,False
Joško Gvardiol,Man City,DEF,5.5,83.6,0.058,0.063,0.03,0.553,1.553,0.748,0.511,6.5,5.365,5.365,1.0,False,0.975,available,False,False,,True,BOU(H3) · CRY(A3) · COV(H2) · MUN(A4) · SUN(H2),2.8,True,5.365,5,26.83,26.83,45,33,False
Virgil van Dijk,Liverpool,DEF,6.5,90.0,0.071,0.046,0.033,0.583,1.456,0.814,0.508,6.1,5.361,5.361,1.0,False,0.825,available,False,False,,True,NEW(A3) · NFO(H3) · IPS(A2) · FUL(H2) · BOU(A3),2.6,True,5.361,5,26.8,26.8,46,34,False
Fabian Schär,Newcastle,DEF,5.0,86.8,0.061,0.047,0.032,0.52,1.635,0.688,0.511,6.8999999999999995,5.354,5.3,0.99,True,1.071,available,False,False,100.0,True,LIV(H4) · TOT(A3) · BOU(H3) · LEE(A3) · HUL(H2),3.0,True,5.354,5,26.77,26.5,47,35,False
Jayden Bogle,Leeds,DEF,4.5,80.8,0.056,0.061,0.031,0.536,1.553,0.748,0.508,6.5,5.345,5.024,0.94,False,1.188,available,False,False,,True,NFO(A3) · BRE(H3) · BHA(A3) · NEW(H2) · CRY(H3),2.8,True,5.345,5,26.72,25.12,48,36,False
Mohammed Kudus,Spurs,MID,6.5,81.4,0.125,0.108,0.096,0.992,1.616,0.187,0.537,6.8,5.332,3.999,0.75,False,0.82,doubtful,False,True,75.0,True,BRE(A3) · NEW(H2) · NFO(A3) · EVE(H3) · AVL(H3),2.8,True,5.332,5,26.66,20.0,49,8,False
Destiny Udogie,Spurs,DEF,4.5,82.0,0.05,0.047,0.027,0.455,1.616,0.748,0.506,6.8,5.325,4.952,0.93,False,1.183,available,False,False,,True,BRE(A3) · NEW(H2) · NFO(A3) · EVE(H3) · AVL(H3),2.8,True,5.325,5,26.62,24.76,50,37,False
Yankuba Minteh,Brighton,MID,6.0,87.2,0.114,0.077,0.059,0.828,1.764,0.172,0.538,7.7,5.302,5.09,0.96,False,0.884,available,False,False,,True,AVL(H3) · CHE(A4) · LEE(H2) · COV(A2) · ARS(H4),3.0,True,5.302,5,26.51,25.45,51,9,False
João Gomes,Aston Villa,MID,5.5,88.8,0.057,0.06,0.032,0.48,1.994,0.172,0.655,13.3,5.301,5.301,1.0,False,0.964,available,False,False,,True,BHA(A3) · ARS(H4) · HUL(A2) · NFO(H3) · TOT(A3),3.0,True,5.301,5,26.51,26.51,52,10,False
Ayden Heaven,Man Utd,DEF,4.5,68.4,0.042,0.041,0.026,0.39,1.654,0.748,0.503,7.0,5.295,4.66,0.88,False,1.177,available,False,False,,True,HUL(A2) · IPS(H2) · EVE(A3) · MCI(H4) · FUL(A3),2.8,True,5.295,5,26.48,23.3,53,38,False
